Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH3 6PR,55.959533,-3.193462,S01008847,New Town East and Gayfield - 03
EH3 6PS,55.959337,-3.195169,S01008853,Canonmills and New Town North - 01
EH3 6PT,55.959329,-3.195938,S01008853,Canonmills and New Town North - 01
EH3 6PU,55.959899,-3.194674,S01008853,Canonmills and New Town North - 01
EH3 6PW,55.959249,-3.193997,S01008848,New Town East and Gayfield - 04
EH3 6PX,55.959775,-3.195391,S01008853,Canonmills and New Town North - 01
EH3 6PY,55.960372,-3.194977,S01008853,Canonmills and New Town North - 01
EH3 6PZ,55.959696,-3.196157,S01008853,Canonmills and New Town North - 01
EH3 6QA,55.959412,-3.197654,S01008854,Canonmills and New Town North - 02
EH3 6QD,55.959662,-3.192248,S01008847,New Town East and Gayfield - 03
EH3 6QE,55.956449,-3.197435,S01008849,New Town West - 01
EH3 6QG,55.956502,-3.198461,S01008849,New Town West - 01
EH3 6QH,55.958189,-3.198690,S01008849,New Town West - 01
EH3 6QL,55.958427,-3.197272,S01008854,Canonmills and New Town North - 02
EH3 6QQ,55.957270,-3.198854,S01008849,New Town West - 01
EH3 6QR,55.957739,-3.198708,S01008849,New Town West - 01
EH3 6QU,55.957562,-3.202130,S01008850,New Town West - 02
EH3 6QW,55.957930,-3.197593,S01008854,Canonmills and New Town North - 02
EH3 6QY,55.957863,-3.200730,S01008850,New Town West - 02
EH3 6QZ,55.958183,-3.200147,S01008855,Canonmills and New Town North - 03
EH3 6RA,55.958265,-3.200982,S01008855,Canonmills and New Town North - 03
EH3 6RB,55.957989,-3.201679,S01008855,Canonmills and New Town North - 03
EH3 6RD,55.958102,-3.202083,S01008850,New Town West - 02
EH3 6RE,55.958369,-3.202283,S01008855,Canonmills and New Town North - 03
EH3 6RF,55.958465,-3.201693,S01008855,Canonmills and New Town North - 03
EH3 6RG,55.958531,-3.201375,S01008855,Canonmills and New Town North - 03
EH3 6RH,55.958964,-3.201196,S01008855,Canonmills and New Town North - 03
EH3 6RL,55.959170,-3.202164,S01008855,Canonmills and New Town North - 03
EH3 6RN,55.957195,-3.201942,S01008850,New Town West - 02
EH3 6RP,55.957443,-3.200477,S01008850,New Town West - 02
EH3 6RQ,55.958889,-3.200585,S01008854,Canonmills and New Town North - 02
EH3 6RS,55.958280,-3.199413,S01008854,Canonmills and New Town North - 02
EH3 6RT,55.958749,-3.198323,S01008854,Canonmills and New Town North - 02
EH3 6RU,55.958552,-3.198252,S01008854,Canonmills and New Town North - 02
EH3 6RX,55.958914,-3.197110,S01008854,Canonmills and New Town North - 02
EH3 6RY,55.959332,-3.196643,S01008854,Canonmills and New Town North - 02
EH3 6RZ,55.959289,-3.197282,S01008854,Canonmills and New Town North - 02
EH3 6SA,55.959018,-3.198427,S01008854,Canonmills and New Town North - 02
EH3 6SB,55.959063,-3.198428,S01008854,Canonmills and New Town North - 02
EH3 6SD,55.959040,-3.199853,S01008854,Canonmills and New Town North - 02
EH3 6SE,55.959232,-3.199491,S01008854,Canonmills and New Town North - 02
EH3 6SF,55.959373,-3.198838,S01008854,Canonmills and New Town North - 02
EH3 6SH,55.957799,-3.202698,S01008850,New Town West - 02
EH3 6SJ,55.958282,-3.202953,S01008855,Canonmills and New Town North - 03
EH3 6SP,55.957674,-3.203591,S01008850,New Town West - 02
EH3 6SR,55.957686,-3.204184,S01008851,New Town West - 03
EH3 6SS,55.957567,-3.205333,S01008851,New Town West - 03
EH3 6ST,55.957326,-3.206047,S01008851,New Town West - 03
EH3 6SU,55.957981,-3.205218,S01008851,New Town West - 03
EH3 6SW,55.957854,-3.203468,S01008850,New Town West - 02
EH3 6SX,55.957489,-3.206805,S01008851,New Town West - 03
EH3 6SY,55.957749,-3.207774,S01008851,New Town West - 03
EH3 6SZ,55.957846,-3.208049,S01008851,New Town West - 03
EH3 6TD,55.955736,-3.202362,S01008850,New Town West - 02
EH3 6TE,55.955967,-3.201728,S01008850,New Town West - 02
EH3 6TF,55.956726,-3.202136,S01008850,New Town West - 02
EH3 6TG,55.956290,-3.202667,S01008850,New Town West - 02
